guideline_id,topic,text
G00130,medication reconciliation,Demo evidence record 130. Medication reconciliation after transitions of care can help identify discrepancies. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00131,heart failure,Demo evidence record 131. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00132,chronic kidney disease,Demo evidence record 132. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00133,diabetes,"Demo evidence record 133. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00134,COPD,Demo evidence record 134. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00135,readmission risk,"Demo evidence record 135. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00136,AI safety,Demo evidence record 136. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00137,post-discharge follow-up,Demo evidence record 137. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00138,medication reconciliation,Demo evidence record 138. Medication reconciliation after transitions of care can help identify discrepancies. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00139,heart failure,Demo evidence record 139. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00140,chronic kidney disease,Demo evidence record 140. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00141,diabetes,"Demo evidence record 141. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00142,COPD,Demo evidence record 142. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00143,readmission risk,"Demo evidence record 143. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00144,AI safety,Demo evidence record 144. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00145,post-discharge follow-up,Demo evidence record 145. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00146,medication reconciliation,Demo evidence record 146. Medication reconciliation after transitions of care can help identify discrepancies. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00147,heart failure,Demo evidence record 147. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00148,chronic kidney disease,Demo evidence record 148. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
